stock_code,market,alias,alias_type,source,confidence,updated_at
00180,HK,00180,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877446
00180,HK,开达集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877448
00181,HK,00181,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877463
00181,HK,闽港控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877466
00182,HK,00182,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877477
00182,HK,协合新能源,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877479
00183,HK,00183,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877491
00183,HK,宏辉集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877493
00184,HK,00184,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877503
00184,HK,激成投资,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877505
00185,HK,00185,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877516
00185,HK,正商实业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877520
00186,HK,00186,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877531
